geoname,lntitle,geoid,lnnumber,tot_est,tot_moe,adu_est,adu_moe,cit_est,cit_moe,cvap_est,cvap_moe
Alabama,Total,0400000US01,1,4997675,0,3875295,604,4895670,3013,3782980,2589
Alabama,Not Hispanic or Latino,0400000US01,2,4773015,413,3739935,503,4729890,2290,3701065,1866
Alabama,American Indian or Alaska Native Alone,0400000US01,3,17535,940,14745,798,17485,933,14695,794
Alabama,Asian Alone,0400000US01,4,70485,1505,55080,950,46755,1908,33745,1371
Alabama,Black or African American Alone,0400000US01,5,1321270,2722,995290,1763,1315935,2916,990635,1964
Alabama,Native Hawaiian or Other Pacific Islander Alone,0400000US01,6,1630,372,1135,243,1540,349,1060,227
Alabama,White Alone,0400000US01,7,3259665,30,2612750,70,3246485,1117,2600675,987
Alabama,American Indian or Alaska Native and White,0400000US01,8,33300,961,27015,802,33290,961,27005,802
Alabama,Asian and White,0400000US01,9,15940,1428,8810,713,15590,1424,8485,714
Alabama,Black or African American and White,0400000US01,10,37805,2384,14790,1467,37590,2390,14605,1471
Alabama,American Indian or Alaska Native and Black or African American,0400000US01,11,5225,934,3935,694,5225,934,3935,694
Alabama,Remainder of Two or More Race Responses,0400000US01,12,10165,1210,6395,895,9990,1193,6230,879
Alabama,Hispanic or Latino,0400000US01,13,224660,413,135360,448,165780,2075,81915,1972
Alaska,Total,0400000US02,1,735950,0,553215,208,712815,1538,532630,1307
Alaska,Not Hispanic or Latino,0400000US02,2,682345,172,518045,254,662840,1390,500570,1223
Alaska,American Indian or Alaska Native Alone,0400000US02,3,105175,1710,71870,1101,105115,1721,71810,1110
Alaska,Asian Alone,0400000US02,4,46520,1040,36575,693,34465,1154,25645,915
Alaska,Black or African American Alone,0400000US02,5,22880,762,18055,585,21535,809,17070,634
Alaska,Native Hawaiian or Other Pacific Islander Alone,0400000US02,6,10535,382,6670,271,9335,631,5800,427
Alaska,White Alone,0400000US02,7,440220,13,353195,41,435765,534,348890,521
Alaska,American Indian or Alaska Native and White,0400000US02,8,29785,1557,19105,1029,29730,1560,19050,1027
Alaska,Asian and White,0400000US02,9,9265,883,4290,549,9105,872,4185,521
Alaska,Black or African American and White,0400000US02,10,6145,667,2675,486,6080,672,2625,490
Alaska,American Indian or Alaska Native and Black or African American,0400000US02,11,1460,396,560,171,1450,395,550,171
Alaska,Remainder of Two or More Race Responses,0400000US02,12,10365,1074,5050,666,10255,1050,4940,633
Alaska,Hispanic or Latino,0400000US02,13,53605,172,35175,187,49975,594,32065,511
Arizona,Total,0400000US04,1,7079205,0,5464770,260,6582875,7687,5000100,6669
Arizona,Not Hispanic or Latino,0400000US04,2,4821775,0,3929470,263,4665370,4902,3788150,4200
Arizona,American Indian or Alaska Native Alone,0400000US04,3,257575,2389,186150,1630,257070,2425,185735,1655
Arizona,Asian Alone,0400000US04,4,231075,2558,187405,1864,160055,3077,123040,2439
